Committee,Size,Method,MRA,MRSPB_median,MRSPB_mean,MRSPB_median_aware,MRSPB_mean_aware
gemma_3_27b_it+gpt_120b_oss+qwen3_4b_instruct,3,AR,0.9112709832134293,0.00599520383693046,0.0098054889421796,0.008393285371702641,0.012511419435879875
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct,3,SR,0.8880895283772982,0.005755395683453235,0.008011368682831518,0.008260058619770846,0.010302868816058264
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct+llama_4_scout_17b_16e_instruct,3,AR,0.8878896882494005,0.0014388489208633226,0.004956035171862522,0.0035971223021582927,0.006794564348521197
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct,3,SR,0.8976818545163869,-0.012523314681588044,-0.0013589128697042245,-0.012504282288454932,-0.0017700125613794582
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct+qwen3_235b_instruct,3,AR,0.8994804156674661,-0.016426858513189452,-0.0009459099387156925,-0.016037170263788966,-0.0012347265045106702
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct+qwen3_30b_instruct,3,SR,0.8964828137490009,0.004263256061817225,0.003592681410427225,0.003939705378554287,0.004510677172547675
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct+qwen3_30b_instruct,3,AR,0.9005795363709033,0.005861977084998665,0.005688782307487349,0.00599520383693046,0.0071728331620418
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct+qwen3_4b_instruct,3,SR,0.893185451638689,0.010791366906474836,0.0068034461319833135,0.01096265844467284,0.008585988352175408
gemma_3_27b_it+llama_4_maverick_17b_128e_instruct+qwen3_4b_instruct,3,AR,0.8973820943245404,0.008659738875566217,0.0069100275335287386,0.008907159986296667,0.008728731300673745
gemma_3_27b_it+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,3,SR,0.8917865707434053,-0.0013189448441246893,0.005067057465139001,-0.0008992805755395628,0.006494804156674662
gemma_3_27b_it+llama_4_scout_17b_16e_instruct+qwen3_235b_instruct,3,AR,0.8916866506794564,0.00035971223021583065,0.004249933386624031,0.00014988009592326046,0.005474192074911492
gemma_3_27b_it+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,3,SR,0.8815947242206235,0.0065281108446575975,0.013349320543565144,0.00993490921548476,0.01701495946100263
gemma_3_27b_it+llama_4_scout_17b_16e_instruct+qwen3_30b_instruct,3,AR,0.8943844924060751,0.0037303490540900597,0.012403410604849443,0.006680369989722504,0.015815918693616527
